date,label,bow_vector
2025-12-01 21:58:00,日本 台湾,52828:1 14571:1 31651:1 26592:2 17102:1 30631:2 21771:1 43912:1 23348:1 29256:1 29372:1 46559:1 2264:3 11644:1 25335:3 48954:1 8645:4 27718:1 6608:1 58905:1 39279:2 26495:1 2270:1 27189:1 58915:1 31151:1 2350:1 45713:1 15930:1 2377:1 59055:1 19880:1 35237:1 10882:1 51672:1 9017:1 31814:1 17415:1 13840:1 58717:1 25808:1 29017:1 612:1 2058:1 27359:1 40797:1 15861:1 39290:1 7991:1 40710:1 31272:1 52888:1 54796:2 46165:2 52816:1 58849:1 54143:1 37438:2 12648:1 58917:1 38796:2 7979:2 43230:2 10520:1 18634:1 16749:1 23392:1 28218:1 19295:2 48944:2 33966:1 7500:1 30597:1 20878:1 43114:1 48961:1 39853:1 37807:1 50583:1 48055:1 23533:1 20776:1 15855:3 5476:1 37638:1 34399:1 1903:1 25532:1 58907:2 39686:1 11152:1 40921:1 13980:1 32791:1 54821:1 23601:2 32607:1 22093:1 42215:1 52349:1 29264:1 8541:1 53223:1 13161:1 29185:1 32838:1 53026:1 52925:1 177:1 15935:1 45515:1 37516:1 58903:1 32876:1 13341:1 10968:1 55326:3 8528:1 40796:1 54716:1 30990:1 58913:1 3311:1 48970:2 37506:1 58693:1 34187:1 22436:1 22383:1 16681:1 39550:1 15918:1 11669:2 53051:1 24463:1 14892:1 37368:1 8533:1 30917:1 59178:1 52859:1 37169:1 35231:1 38827:1 5957:1 2321:1 47782:1
2025-12-01 21:57:00,日本 台湾,10520:1 57991:1
2025-12-01 21:57:00,日本 台湾,31651:2 12093:2 8622:2 25306:2 21890:2 24572:2 14589:2 48147:2 59376:2
2025-12-01 21:57:00,日本 台湾,14571:1 17389:2 31651:22 19129:1 2986:20 25892:1 9934:17 40687:1 53991:1 53013:1 40684:30 30631:1 20961:1 24952:1 32111:1 17047:2 28683:1 25093:1 9111:1 6896:1 14834:1 2264:1 13896:3 6608:2 31151:1 2350:3 59055:1 58849:1 58917:4 19295:1 40921:1 42215:1 13341:1 46722:2 8151:1 19115:1 31263:2 12903:2 22503:1 56548:2 42892:3 11492:1 58330:3 54242:2 29456:1 49645:1 14637:1 7328:1 29356:1 13111:1 32046:2 9527:5 20147:1 47040:1 373:1 29366:1 55438:1 28713:1 861:3 16523:2 10314:1 1015:2 8475:1 22246:2 50156:1 59:1 35439:1 32037:1 50999:3 18343:1 24876:1 9404:1 51974:1 34279:1 11805:1 8477:1 40383:1 9253:1 18930:1 40310:1 55193:2 7645:1 16520:1 32964:1 59822:1 22583:1 17406:1 21539:1 43443:3 22244:1 6172:1 37591:1 50798:1 32082:2 43033:2 26208:1 11897:1 25747:1 11586:1 50090:1 13156:1 39612:1 17063:1 56469:1 40219:1 53589:1 26724:1 47036:1 9069:1 22757:1 23784:3 38236:1 12235:1 22256:1 55195:1 54262:1 54695:1 4633:1 694:2 56457:1 56285:1 729:1 30934:1 13811:1 53597:1 24903:1 38201:1 36942:2 32034:1 4480:1 17348:1 38039:1 34990:1 31622:1 58920:1 3830:1 58839:1 36024:1 40685:4 35924:1 58580:1 4248:1 7162:2 54322:1 56833:1 1005:1 43828:1 16949:1 41433:1 54875:1 6566:4 23920:1 58918:3 38061:1 41286:1 22457:1 51695:1 3309:1 39894:3 58853:1 45292:2 40782:8 550:6 17443:1 45432:2 41480:5 22641:1 54178:1 13318:1 46677:2 7096:2 17464:1 31866:1 49235:1 16715:1 17262:1 54718:1 25298:1 43596:3 25224:1 50611:1 1666:1 24472:1 52704:1 43885:1 59217:1 36470:1 288:1 43773:3 37219:1 6276:1 17275:1 32028:3 15271:1 49815:1 37725:1 6568:1 20934:1 4313:1 40625:1 24531:1 1007:1 26052:1 55904:1 2948:1 41951:1 23412:1 12273:1 41906:1 6046:1 58901:1 23911:1 4648:1 5375:1 16103:1 38240:1 23917:1 21125:1 41842:3 229:1 43472:1 43933:1 30640:1 22689:1 17258:1 52164:1 10299:1 1602:1 43937:1 58215:1 29929:1 33138:2 55095:1 14618:1 37631:1 19292:1 39491:1 58890:1 37335:1 22696:1 48732:1 34547:1 42891:1 39457:1 8204:1 21805:1 58854:1 26319:1 13899:1 2124:1 19284:1 5378:1 47688:1 16827:1 1619:1 47455:1 47689:1 31421:1 40809:1 34336:1 29911:1 16571:1 43582:1 3461:1 18693:1 52231:1 6824:1 18647:1 44979:1 4896:1 36026:1 58864:1 14505:1 11594:1 5732:1 16721:1 59086:1 34291:1 13376:2 9935:5 32970:2 39814:1 9780:1 10307:2 18251:1 49219:1 20048:1 20211:1 49260:1 37110:1 22644:1 9857:1 32253:1 43832:1 47073:1 3290:1 4398:1 15704:1 49024:1 60266:1 4615:1 48141:1 45346:1 24569:1 58850:1 47349:2 4251:3 3092:1 6404:1 40167:10 58881:1 12936:1 34154:1 37810:3 52838:1 47344:1 59779:2 21713:2 31671:1 53684:1 53960:1 48008:1 14147:1 3166:1 39547:1 36060:1 27082:1 46031:1 32284:1 30567:1 36207:1 37799:2 18144:1 11287:1 59734:1 53952:1 24110:1 1701:1 33387:1 17790:1 11628:1 35379:1 44349:1 16379:1 43792:1 30776:9 9333:1 7193:2 5288:1 30778:1 48933:1 4908:1 39324:2 37993:1 14383:1 2385:1 47458:1 13496:1 4890:1 11684:1 36889:1 2523:1 12493:1 55634:1 2046:1 51877:1 14178:4 21816:1 11214:1 31625:1 12140:2 25217:1 15754:1 37515:1 47462:1 2017:1 8484:1 9090:1 38110:1 40169:1 36523:1 9814:1 44982:2 58115:1 44542:1 305:1 3512:1 35381:2 10185:1 22553:1 21386:1 40949:1 10634:1 47861:1 30056:1 56875:1 40746:1 7451:2 48530:1 18890:1 32213:1 38173:1 13984:1 33869:1 58855:2 40168:4 9483:3 1674:1 33421:5 5814:1 11035:1 49899:1 47139:1 21404:2 41775:1 37658:1 47638:1 19081:1 7909:2 58206:8 26339:1 22164:2 58234:1 27759:1 50623:1 13880:1 31813:1 4065:1 14790:1 54120:1 4439:1 4096:1 45709:1 45695:1 23013:1 49029:4 21575:1 23488:1 49028:2 55689:1 22163:1 58218:2 11625:1 7913:1 53965:1 11129:3 43073:3 15420:1 43082:1 43081:1 43072:1 48704:1 29340:1 58191:1 49763:1 13902:1 18033:1 60066:2 24774:2 48271:1 26480:1 34378:1 34532:1 39233:1 29342:1 44722:1 38508:1 39053:1 48469:1 33064:1 8974:1 39701:1 28397:1 13776:1 31886:1 1677:1 8702:1 58860:1 58654:1 32274:2 25236:1 20607:1 59614:1 5870:1 3237:1 30713:1 35351:1 32347:1 18520:2 15260:1 51333:1 21507:1 55173:1 33533:1 30307:1 44995:1 29336:1 53949:1 27888:2 39415:1 38187:1 10069:1 51020:1 36215:1 36891:1 37502:1 26023:1 48520:1 3454:2 39506:1 36884:1 11916:1 42263:1 48804:5 49217:1 39057:2 51848:1 15600:1 28080:1 58227:1 49573:1 51874:2 33851:1 47069:1 55148:2 47246:1 38135:1 50661:1 11580:1 18247:1 14053:1 7344:1 39897:1 37391:1 31164:1 59826:1 39065:1 7795:1 22634:1 22633:1 42373:1 49096:1 31447:1 54617:1 49099:1 15094:1 24134:1 29952:1 6587:1 47674:1 26626:1 39446:1 34723:1 32269:1 10151:1 24474:1
2025-12-01 21:57:00,日本 台湾,14571:2 10859:1 36060:1 25425:1 23152:1 28040:2 59305:1 53580:2 53211:1 45971:1 39024:1 120:1 56007:1 11453:1 27324:1 17295:1
2025-12-01 20:57:00,日本 台湾,50725:1 14566:1 14571:1 59482:2 31651:10 39326:1 56418:1 2986:2 4583:1 9934:1 53991:1 9660:1 50470:1 44739:1 2354:4 32936:1 35430:1 46559:1 27051:1 29367:1 39868:1 30137:1 443:3 31814:1 58717:1 54796:1 23601:2 29356:1 10314:2 44349:1 5288:1 54120:1 10823:1 30134:1 6567:1 37782:1 40336:2 18426:2 25153:3 29768:1 30726:1 9694:1 20772:1 2036:1 34982:1 49347:1 29877:1 3216:5 50794:3 7241:4 16448:1 30238:3 33920:4 34789:1 24022:1 50258:3 31540:1 438:1 54831:1 20320:1 1997:1 41418:1 55357:1 34960:2 26304:1 19599:1 222:1 49323:1 27574:1 35517:1 14549:1 58195:1 30789:1 29884:1 55143:1 47107:1 47121:1 15613:1 51330:1 27077:1 48381:1 28344:1 38688:1 50812:1 38949:1 8184:1 37739:1 12020:1 7956:1 14170:1 59280:1 7180:1 29552:1 47215:2 21332:2 44675:3 7425:1 41765:1 9633:1 38197:1 32156:1 27170:1 27710:1 13750:1 15096:1 31524:1 20795:1 10382:2 9559:1 27358:1 37036:2 50644:2 15174:1 11009:1 50599:1 32090:1 19556:1 32954:1 34688:1 24076:1 27116:1 91:1 56947:2 343:1 9695:1 50859:1 17946:1 25831:1 18801:1 56415:1 35664:1 53197:1 563:1 13276:1 26520:1 4490:1 1334:1 10468:1 56731:1 49925:1 42538:1 53337:1 21790:1 2424:1 51184:1 31621:1 22839:1 48344:1 3441:1 2360:1 53699:1 46243:1 44062:1 21334:1 37654:1 27535:1 38938:1 5203:1 52940:1 51142:1 22698:1 58443:1 13282:1 27133:1 44037:1 43764:1 21144:1 51140:1 14915:1 14922:1 2759:1 55128:1 37005:1 38885:1 60208:1 57051:1 50987:1 14386:1 51322:1 49348:1 45047:1 2470:1 9438:1 11943:1 17191:1 10862:1 25765:1 41016:1 1246:1 13852:1 7573:1 20416:1 33162:1
2025-12-01 20:56:00,日本 台湾,14571:1 31651:1 2986:1 34626:1 4944:1 46559:1 32838:1 58580:1 50570:2 31281:1 5121:1 17862:1 5625:1 45655:1 28647:1 47440:2 12652:1 5867:1 10573:1 27996:2 59063:1 58295:1 12204:1 43643:1 42993:1 14953:1 35933:1 23254:1 52461:1
2025-12-01 20:56:00,日本 台湾,50725:2 14571:1 59482:2 31651:3 16956:3 35290:3 16304:2 2986:1 11680:2 45489:2 2354:1 23912:1 31810:1 15684:1 48535:1 32936:1 29747:2 13517:1 31095:1 54081:1 59667:1 13492:1 51738:1 16852:1 16909:1 44746:1 24536:1 38858:1 13689:1 31548:1 9120:1 57451:1 26230:1 32097:1 45392:1
2025-12-01 20:00:00,日本 台湾,50725:3 14571:2 59482:1 31651:1 53993:1 56418:1 30859:1 16056:1 46832:1 36418:1 60088:2 19829:2 17102:3 43168:1 27846:1 2986:3 13327:1 2952:1 5965:1 16121:1 14926:1 1695:1 699:1 35469:1 21178:1 9700:2 37046:2 25892:2 18242:2 4583:1 43736:1 28782:1 20081:1 32256:1 23847:1 35703:1 13356:1 39098:1 32670:1 46107:1 31958:1
2025-12-01 19:58:00,日本 台湾,50835:1 14566:2 31651:2 39326:1 56768:1 49205:1 50596:1 28782:1 55506:1 5748:1 21790:1 3139:1 44396:1 55537:1 27195:1 1739:1
2025-12-01 19:55:00,日本 台湾,50725:2 14566:1 14571:1 59482:4 31651:6 56418:1 17102:1 25851:1 13130:1 4487:1 27799:1 28683:1 10546:1 42215:1 36026:1 7913:1 20607:1 31958:1 27805:1 50910:3 16919:1 24845:1 30170:1 51178:1 14285:2 53496:1 31492:1 26576:1 4459:1 4444:1 31670:1 20431:1 57708:1 47961:1 54408:1 14672:1 50895:1 47466:1 34984:1
2025-12-01 19:53:00,日本 台湾,52828:1 14571:1 31651:1 48234:1 54302:1 47682:1 992:1 47941:1 54143:1 16749:1 43033:1 53211:1 58195:1 42538:2 58295:4 35918:3 9478:1 42996:1 15228:1 45673:1 42372:1 11783:1 2110:1 24202:1 31822:1 28356:1 32816:1 49332:1 18466:1 40611:2 25527:1 39955:2 43501:1 8698:1 15778:1 47627:1 8586:1 33505:1 43971:1 27954:1 10638:1 27986:1 3418:1 46429:1 54301:1 46900:1 25707:1 9910:1 28881:1 28714:1 10136:1 4949:2 41355:4 42262:1 54175:1 44207:1 45085:1 27124:1 13867:1 34818:1 52626:1 7421:1 6999:1 961:1 27578:1 3049:4 8046:1 5411:1 12126:2 34035:1 34270:1 37932:1 52632:1 32047:1 35009:1 8160:1 2586:2 19888:1 52490:1 52475:1 22102:1 24360:1 54503:1 32870:1 22098:2 56881:1 30148:1 7570:1 7515:1 32312:1 31498:1 22418:1 25030:1 40456:1 14357:1 48460:1 16671:1 21750:1 2713:1
2025-12-01 18:59:00,日本 台湾,14571:1 17389:1 33333:1 31651:1 56117:1 31455:1 40515:1 51447:1 22116:1 20135:1
2025-12-01 18:57:00,日本 台湾,50835:1 14566:1 31651:1 2986:1 55506:1 5748:1 30338:1 10859:1 37450:1 27776:1 120:1 51142:1 3139:1 44396:1 59501:1 58957:2 29710:1 19103:1 17868:1 5273:1 31639:1 51237:1 56109:1 58139:1 33289:1
2025-12-01 18:57:00,日本 台湾,59482:1 31651:1 53740:1 57451:1 4841:1 455:1 2722:1 5749:1 36543:1 50528:1 15715:1
